type,law_document_id,detail
metadata_or_hash_conflict,85245ee01a0d20dc7f462e1c268f0f71f90dc25cbf141ed754b83fb1c268f10d,document_version_id=1540c25cb6c1b6ada13bcdd9592d4633038c7bae23c7c514c28b920ae320284b
metadata_or_hash_conflict,ee484085c97aecde43a6d18b3bd1481093bb6aaa8653ad05236e1dbc75561178,document_version_id=afa7fd15aa62fd7b8b4dd34b2c8769f3ce56b348fdcca468451a025fbf44c8ff
metadata_or_hash_conflict,a0d511c583665dc01b4e5b38425770a527dc4248f786cb29bb5d6f18bcc3720f,document_version_id=1e348e975a868e3c76f34361b32ec7e2bbfc4b86f69d11dcd323af67492a951c
metadata_or_hash_conflict,ef8327ba3cb49dd47a4a0fa12c00c0972c2e179bac94414720301a11233a224e,document_version_id=3864c09c47d725874225b25f99e611d7ca023709f2918308d15f626ed1f13962
metadata_or_hash_conflict,adf1d65987684eb8b4f6bf8f4176336e99dceb91617cce1d9d3128e9235571ca,document_version_id=7ac90d1958be2bbf0aa06809f7e04dc7397c3df4851928b2fd1c5940959b0aca
metadata_or_hash_conflict,9247dd5e4259d2689b0ed3f232bbf947421c489721db5c0fd51b5bb9234c07f0,document_version_id=4647da79ff48e6585c88c27d6012f14d0b6821752e13163dcf06705a8331c006
metadata_or_hash_conflict,bb0c35fec35a786eba54a45446692d3340afeb201bc6b5244dba41b0f9f45d83,document_version_id=083f461b8739e990c4ecb5aa79b87aab1c65216c5154a9f6bb966ccba6ab2b95
metadata_or_hash_conflict,00567688a992ebb5c2b0b2ce2839c2334bbfcc2b29f8a4af0dfb76a10b8d3903,document_version_id=043412335506e864fd7e3c5dbb46cda9a64a0be160ed2877560ef4048bc61cc9
metadata_or_hash_conflict,b3f23dd0641051d65f758083fb8498ee170a732cd507730449b40eddd99d16cf,document_version_id=79b82c806404c66b6aaae88b9dcd78a3b9cf98c2eba5240e526c97908dd6f34b
metadata_or_hash_conflict,18ccc44275b9535a4e8eccec0ae78bb47cb6376e143ebdfa3b038f4d6c4ba9eb,document_version_id=0d23801d6c0a730559d32900a68e5821cb40cd6dfa399d25b0ce8167553ea49b
metadata_or_hash_conflict,f157977241911026d0c810ddc2b76fea39bb260f7b5223ca310d90b0ffc02bd2,document_version_id=63393c872cc44eae6cb70ba84ed8be2b756169c6eed5332625eb392e16171127
metadata_or_hash_conflict,4eb1653aac0fcb8ca1b71eb369af49212fc17e9b76e49df6cad569c9be8d2499,document_version_id=6f8d41835c5066270380333ac2a3973c5aab403e33441d54b53977e35c73d3bb
metadata_or_hash_conflict,9693e2689136f9a223c397867fb6cbff41f38bb0f7c7316bf25da4b472ea68d3,document_version_id=b0b89833137800d27d97baafc5a423480818d1846464e46c904d03b5c71084e3
metadata_or_hash_conflict,1e5f8853240f49f9f143ebc31666bd118d0dee20495289adc906ea454c7e93a1,document_version_id=b3e8ef282b8cd215dbe20a721b63e7d173e62e391029aebc5a688e82bd985a0d
metadata_or_hash_conflict,1c42e064796290a037206dd317fabdb3e37ed72896e59a41229b449debf06cfc,document_version_id=f9f697af9060a69c76a69de4c86512fa9e6ab87c16033f5d54f4749369a58a0b
metadata_or_hash_conflict,f5d18f683cbb581f70e08542b50117473fd8b247cd3eb2e27a66bb78cf43337e,document_version_id=ae3eff353af109017c3aee0d114b7998803aa623c89f157d3aa16d6a1fa6077c
metadata_or_hash_conflict,ee00e33908af9f093c8d1f9efb881dcb4f87197b63187588c12bb6050254a34e,document_version_id=37ecf59ee7df117fa571189f8422db9e18ff70687015cc67fb06b8a261330ba4
metadata_or_hash_conflict,6688271d978d1d1b041a4b8d8d277efff8c0f1254b9737dcce51e14ada79ab8a,document_version_id=412d214675eec345ab61cdd32fa702fc8fdc73f93d9c34e8ab95f787bf9c41c0
metadata_or_hash_conflict,976a82f8b7d888f86971f2536c723aca5b7580979d52f1f44bcf11deaaac47f8,document_version_id=4439baa9e122400c4a9f41337058ddc03cb86c6a49bc0fef24176e292bdab58e
metadata_or_hash_conflict,fd388787584a02f0a7096b649446f17769687e641198972d3e32c37ad41ce977,document_version_id=4aaec5a54ef5b0a2825efdea98f19eb2e4dacee5f889f0df63ed193a961f4c4f
metadata_or_hash_conflict,745e734074bcd4bfe74109f8368261c7553b8e5c30bcdaed62f3482fcad05c9a,document_version_id=a62d633b65fb6a6fe8dd2084f014066f569c2c3db6dcba098df34cd2fce7143e
metadata_or_hash_conflict,85dae6a925513aede360bdf182e31b9942321f5339b153c3c41fa09979751190,document_version_id=0d1b588defcb15a058a4c928fe451a7e821e8486d37fdd4d73af43bed0df60e1
metadata_or_hash_conflict,41f6d6849c513149a3b2071488023841d36138e8f055355daf64ebe2388bc5e0,document_version_id=6fba62f50ee05b52b174baa9eea1a906b47839f68b628555e21adb25daff6077
metadata_or_hash_conflict,9a9bd8f02a29cdf015f52a988ab7b9f6c7c06d8d9de51beb0ee71e1af0db85f3,document_version_id=acfb79995c306b7d768e2a490d1efe20be361b8476577c93ac28669e49bff5cc
metadata_or_hash_conflict,2aec998a7b84ef157922d745b77245a0468285e77040c1e21b521c04c54593f5,document_version_id=303481d0c0605b7a2669a44fed8b0119c5cda50de01d5aff7eaf6dd323a2499c
metadata_or_hash_conflict,99d89c61f357916ebca90d2746c8a0f87418486c5e0ec0c6e99a7eeb01376c0f,document_version_id=c96b43b86252a7750ec382b55365a527ff1b1470a2bfd9833d9ed31eaaf1aa63
metadata_or_hash_conflict,d5ed63ecbbc322d890e9d538d8299b88fc77fc9f257e462691f0799a5244c904,document_version_id=e430a0dfd78d2c59483b92ade0c2464b736983f0e55998ad8e1eba5e98826c69
metadata_or_hash_conflict,853c78044a0b9c750c30339f30990f3adffca19a4297555fe06e352f53381a35,document_version_id=48213ac28a23756e7414b46e3c6c8f9fed8c5db5a347173b6103008cf295a3a3
metadata_or_hash_conflict,11338cbba37564d396e6519a0ea35fba02722a83f51d9645684509b6fd85ddb9,document_version_id=54e8de70c246a65e3dbdc667af105cba2f81e029a371c4df4b45a20296cc4868
metadata_or_hash_conflict,c8a0a3f2f094ea77aba184f0954f4baac68cff0fb977cf765f166fba6fdfbeeb,document_version_id=0125924233dc132e284db427b90f53329f136f5f544ce11759fa5fc92ade6376
metadata_or_hash_conflict,96a4582f59918d948143353f7dead47a753ae0ec43cbe493105a485ae74fdd84,document_version_id=d7b39be00c59d73ee9ae9bab18c150978530de229ee83748276e1b45fd20ea90
metadata_or_hash_conflict,7c032101971a46ca34766a98cb4c3dd7440e7f250c90aec4812327f600818aaa,document_version_id=65e4480c2601b57f510953cf101d77b92a5ffc99639deace47a98f181dc2e0e2
metadata_or_hash_conflict,9507e228c1e58320d13c12e574a3e1597b9c8843463452a1eaff03acb9dba03a,document_version_id=59ceec8ac5113697f49417f0e944f6ee4117af2bc76f31d8035555d717dda3b9
metadata_or_hash_conflict,6ba8850d2fdb8e239b369fc384d0ae8771d4def0f2e014a237bbd08453d5760a,document_version_id=e8d5489972bd7385f8742e85c1453cca977e3b30d26f27a9aa52bb251c293ab9
metadata_or_hash_conflict,b61a25ee31480e9799386baede31202809df7596c7e00917a14e3fccef20e63d,document_version_id=edf257d975c928e9aae9c64cda622c83f88bb3d283e6d79f6824817b30e43416
